source,target,relation
/PLMF/CA,TCLA,requires
/PLMF/CVM,T000,requires
/PLMF/CVM,/PLMF/SCEN,requires
/PLMF/CVM,/PLMF/SCENVS,requires
/PLMF/CVM,/PLMF/CA,requires
/PLMF/CVM,TCLA,requires
OIU_DSD_INSTR_T,OIU_DSD_INSTR,requires
FOT_TXA_TP_ACC,T000,requires
FOT_TXA_TP_ACC,T003,requires
/BCV/C_DISPLAS,/BCV/C_DISTYPE,requires
/BCV/C_DISTYPT,/BCV/C_DISTYPE,requires
/BCV/C_DISUBT,/BCV/C_DISTYPE,requires
/BCV/C_DSWF,/BCV/C_SRCH,requires
/BCV/C_GRPINGT,/BCV/C_GRPING,requires
/BCV/C_QVIEWGA,/BCV/C_CLF,requires
/BCV/C_QVIEWGA,/BCV/C_QVIEW,requires
/BCV/C_QVIEWGA,/BCV/C_GRPING,requires
/PLMB/GOS_PAMAX,T000,requires
/PLMB/GOS_PAMAX,/PLMB/GOS_OTYPE,requires
/PLMB/NAV_HETCOL,/PLMB/NAV_OTYP,requires
/SMB/Q2P_TESTLAN,/SMB/Q2P_TESTMAI,requires
SITH_T_ANCPARM_C,SITH_T_DEF_C,requires
SITH_T_COND_WF_C,SITH_T_DEF_C,requires
SITH_T_NOTIF_C_T,SITH_T_NOTIF_C,requires
SITH_T_PARAM_C,SITH_T_DEF_C,requires
EDI_I_TEXT_TYP_T,EDI_I_TEXT_TYPES,requires
MMPROC_TEAM_PACK,MMPROC_TEAM,requires
POC_I_BA,POC_I_BO_TYPE,requires
POC_I_BA,POC_I_BA_TYPE,requires
EDOIT_EXSYST,EDOIT_EXSYS,requires
CRMC_SSC_PAN,CRMC_SSC_SCP_DEF,requires
TEST_T682Z,T681V,requires
TEST_T682Z,T681A,requires
TEST_T682ZA,T681V,requires
TEST_T682ZA,T681A,requires
T682ZA,T681V,requires
T682ZA,T681A,requires
T682ZA,T682IA,requires
TFPM042FC,TFPM042F,requires
TFPM042FC,TCP00,requires
EDOMSGDCSDOCMAP,EDODCSDOCTYPE,requires
/SCWM/WI_LOGSYST,/SCWM/WI_LOGSYS,requires
EDOEUDOCTYPEIDT,EDOEUDOCTYPEID,requires
TCGWF2,T000,requires
TCGWF4,T000,requires
TCGWF4,TCGWF2,requires
TCGWF4,TCG11,requires
TCGWF6,TCGWF2,requires
TCGWF7,T000,requires
TCGWF7,TCGWF1,requires
TCGWF7,TCG11,requires
TCGR3,T000,requires
TCGR3,T005,requires
TCGR3,TCGL1,requires
TCGR3,TVKO,requires
CCIHC_IATYPE,T000,requires
CCIHC_IHTYPE,T000,requires
CCIHC_IHTYPE,CCIHC_IHOBJ,requires
CCIHC_IHTYPE1,T000,requires
CCIHC_MJCAT,T000,requires
CCIHC_MPWATYPE,CCIHC_WA01,requires
CCIHC_MSOURCE,T000,requires
CCIHC_FATYPE,T000,requires
CCIHC_MPLEVELRPT,CCIHC_MPTYPE,requires
CCIHC_MPLEVELRPT,CCIHC_MJCAT,requires
CCIHC_MPLEVELRPT,TCGL1,requires
TCG75,T000,requires
TCG75,TCG74,requires
TCG79,T000,requires
TCG79,TCG78,requires
TCGS4,T000,requires
TCGS4,TCGS3,requires
TCGS5,T000,requires
TCGS5,TCGS3,requires
TCGS5,TCGS8,requires
TCG23OBJ,TCG23,requires
TCG23OBJ,TCGOBJ,requires
TCG48,T000,requires
TCG48,TCG47,requires
TCG72,T000,requires
TCG72,TCG71,requires
TCGA2,T000,requires
TCGA2,TCGA1,requires
TCG24,T000,requires
TCG24,TCG23,requires
/SMB98/C_M_TEST,T000,requires
/SCWM/TQFU,T000,requires
/SCWM/TQFU,/SCWM/T300,requires
/SCWM/TQFU,/SCWM/TQFUCODE,requires
/SCWM/TQFU,/SCWM/TCATLOCN,requires
/SCWM/TQFU,/SCWM/T333,requires
/SCWM/TQFU,/SCWM/TEXCEP,requires
PFM_01TP36,T000,requires
PFM_01TP36,T001,requires
PFM_01TP36,T003,requires
TWFPC,T000,requires
TWFPC,TWFPT,requires
TWFTT,T000,requires
TWFTT,TWFPT,requires
J_1BTXIC3,T000,requires
J_1BTXIC3,T005,requires
J_1BTXIC3,J_1BTREGX,requires
J_1BTXIC3,J_1BTXGRUOP,requires
J_1BTXIC3,J_1BATL1,requires
TFKFSD,T000,requires
T009B,T000,requires
T009B,T009,requires
T009T,T000,requires
T009T,T009,requires
T009Y,T000,requires
T009Y,T009,requires
/PF1/T_CLAREAT,T000,requires
/PF1/T_CLAREAT,/PF1/T_CLAREA,requires
/SCMTMS/C_TORTY,/SCMTMS/C_EV_TY,requires
/SCMTMS/C_TORTY,/SAPTRX/AOTYPES,requires
/SCMTMS/C_TORTY,PPFTCONDE,requires
/SCMTMS/C_TORTY,/SCMTMS/C_PA_SCH,requires
/SCMTMS/C_TORTY,/SCMTMS/C_EVTPRF,requires
/SCMTMS/C_TORTY,/SCMB/C_SLC,requires
/SCMTMS/C_TORTY,/SCMTMS/C_CCPRO,requires
/SCMTMS/C_TORTY,/SCMTMS/C_TENDPS,requires
/SCMTMS/C_TORTY,/SCMTMS/C_TENDGC,requires
/SCMTMS/C_TORTY,/SCMTMS/C_TORTY,requires
/SCMTMS/C_TORTY,/SCMTMS/D_CONDDE,requires
/SCMTMS/C_TORTY,/SCMTMS/C_EWMPR,requires
/SCMTMS/C_TORTY,/SCMTMS/C_DSCPRF,requires
/SCMTMS/C_TORTY,/SCMTMS/C_BLKPRF,requires
/SCMTMS/C_TORTY,/SCMTMS/D_GRPROT,requires
/SCMTMS/C_TORTY,/BOBF/C_ATT_SCH,requires
/SCWM/TQFU_S4,T000,requires
/SCWM/TQFU_S4,/SCWM/T300,requires
/SCWM/TQFU_S4,TQ07,requires
/SCWM/TQFU_S4,/SCWM/TCATLOCN,requires
/SCWM/TQFU_S4,/SCWM/T333,requires
/SCWM/TQFU_S4,/SCWM/TEXCEP,requires
J_2GLPP2,T000,requires
J_2GLPP2,T001,requires
J_2GLPP2,J_2GLPP1,requires
SKA_IMST,T000,requires
SKA_IMST,T004,requires
SKB_IMST,T000,requires
SKB_IMST,T001,requires
/SCMTMS/C_RPSRCT,/SCMTMS/C_RPSRC,requires
T007J,T000,requires
T007J,T007F,requires
T007J,TCURC,requires
CVCSH,T000,requires
CVCSN,T000,requires
CVCSN,CVCSH,requires
CVCBN,T000,requires
CVCBN,CVCBP,requires
FLOG_MT_RISKTY_T,T000,requires
FLOG_MT_RISKTY_T,FLOG_MT_RISKTY_C,requires
CRMC_PS_CAP_BRFT,T000,requires
CRMC_PS_CAP_BRFT,CRMC_PS_CAP_CSSA,requires
CRMC_PS_CAP_B_T,T000,requires
CRMC_PS_CAP_B_T,CRMC_PS_CAP_BPFM,requires
CRMC_PS_CAP_CCS,T000,requires
CRMC_PS_CAP_CCS,CRMC_PS_CAP_CTDS,requires
